epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,3796.69,1.41864,0.6854,0.95909,0.91632,0.93297,0.95375,0.5276,1.40606,0.62187,0.97969,0.000416,0.000416,0.000416
122,3828.05,1.42105,0.65955,0.94752,0.93455,0.92377,0.94807,0.54659,1.37204,0.59438,0.96741,0.0004028,0.0004028,0.0004028
123,3859.43,1.40615,0.66869,0.95231,0.92358,0.9148,0.93784,0.53361,1.39659,0.60283,0.96835,0.0003896,0.0003896,0.0003896
124,3890.79,1.40665,0.67241,0.95286,0.93587,0.91614,0.93734,0.53715,1.40217,0.60422,0.97593,0.0003764,0.0003764,0.0003764
125,3922.16,1.40828,0.66367,0.95026,0.94176,0.92377,0.94368,0.52968,1.42938,0.61223,0.97844,0.0003632,0.0003632,0.0003632
126,3953.54,1.38856,0.65069,0.95227,0.93246,0.92859,0.94314,0.53367,1.4334,0.60387,0.98141,0.00035,0.00035,0.00035
127,3984.92,1.39255,0.65914,0.94275,0.9153,0.92077,0.93762,0.52886,1.43877,0.60738,0.98919,0.0003368,0.0003368,0.0003368
128,4016.28,1.41145,0.67009,0.95582,0.91949,0.92181,0.93855,0.53373,1.42073,0.60629,0.99056,0.0003236,0.0003236,0.0003236
129,4047.65,1.38332,0.66103,0.94052,0.91804,0.91928,0.94058,0.53723,1.41967,0.60772,0.97501,0.0003104,0.0003104,0.0003104
130,4079.03,1.36048,0.64988,0.93719,0.92308,0.93274,0.94723,0.53695,1.41039,0.60175,0.97889,0.0002972,0.0002972,0.0002972
131,4110.38,1.38956,0.658,0.9486,0.92262,0.92377,0.94276,0.53085,1.40372,0.60071,0.97785,0.000284,0.000284,0.000284
132,4141.75,1.37276,0.66152,0.93486,0.91991,0.92707,0.95294,0.52481,1.42405,0.61448,0.98842,0.0002708,0.0002708,0.0002708
133,4173.09,1.38259,0.65976,0.93751,0.92415,0.92377,0.94264,0.52362,1.42438,0.61508,0.98949,0.0002576,0.0002576,0.0002576
134,4204.45,1.34939,0.64643,0.94169,0.92867,0.93722,0.94968,0.53216,1.40752,0.59715,0.98327,0.0002444,0.0002444,0.0002444
135,4235.79,1.35017,0.6501,0.9415,0.91984,0.92377,0.93257,0.52652,1.40657,0.60395,0.98467,0.0002312,0.0002312,0.0002312
136,4267.19,1.33781,0.63493,0.92929,0.92066,0.92377,0.93553,0.53068,1.39555,0.60416,0.98242,0.000218,0.000218,0.000218
137,4298.55,1.35484,0.64901,0.93909,0.92221,0.92377,0.92937,0.53915,1.38684,0.59298,0.97871,0.0002048,0.0002048,0.0002048
138,4329.91,1.34802,0.63718,0.94062,0.93321,0.9398,0.94835,0.54356,1.39602,0.59616,0.97506,0.0001916,0.0001916,0.0001916
139,4361.27,1.35091,0.63552,0.94218,0.92208,0.92377,0.93476,0.54533,1.38303,0.59522,0.96824,0.0001784,0.0001784,0.0001784
140,4392.62,1.32876,0.63492,0.92645,0.92905,0.93957,0.93712,0.53711,1.38715,0.58645,0.97248,0.0001652,0.0001652,0.0001652
141,4424.53,1.38292,0.63486,0.98325,0.91999,0.91928,0.9395,0.53837,1.39942,0.5996,0.9705,0.000152,0.000152,0.000152
142,4455.91,1.32958,0.61882,0.9677,0.91967,0.93722,0.9374,0.53602,1.40813,0.60899,0.97372,0.0001388,0.0001388,0.0001388
143,4487.33,1.32944,0.62279,0.96848,0.93272,0.9325,0.9358,0.52861,1.42234,0.61193,0.98236,0.0001256,0.0001256,0.0001256
144,4518.69,1.33177,0.62276,0.97428,0.93268,0.93274,0.93576,0.52622,1.42698,0.6045,0.98675,0.0001124,0.0001124,0.0001124
145,4550.04,1.31207,0.61603,0.96378,0.92721,0.91928,0.93468,0.52714,1.42569,0.5996,0.9842,9.92e-05,9.92e-05,9.92e-05
146,4581.4,1.31207,0.60785,0.95914,0.93685,0.93138,0.93579,0.53199,1.40956,0.59659,0.9843,8.6e-05,8.6e-05,8.6e-05
147,4612.75,1.30619,0.60926,0.96723,0.93193,0.92377,0.93411,0.53008,1.41496,0.59765,0.98527,7.28e-05,7.28e-05,7.28e-05
148,4644.11,1.30255,0.61122,0.9681,0.91975,0.92517,0.93209,0.53345,1.41825,0.60106,0.98644,5.96e-05,5.96e-05,5.96e-05
149,4675.44,1.30499,0.60259,0.96194,0.91978,0.92549,0.93226,0.53269,1.41639,0.59935,0.98676,4.64e-05,4.64e-05,4.64e-05
150,4706.83,1.30257,0.60711,0.9643,0.91989,0.9269,0.93943,0.53658,1.40482,0.59571,0.98522,3.32e-05,3.32e-05,3.32e-05
